iter	Logloss
332	0.4143563579
333	0.4141692177
334	0.4140040235
335	0.4137276716
336	0.4135497906
337	0.4133027465
338	0.4130714766
339	0.4128879926
340	0.4125456905
341	0.4123326525
342	0.4120948049
343	0.4118933898
344	0.4116993647
345	0.4114582518
346	0.411261701
347	0.410914158
348	0.4107025527
349	0.410539055
350	0.4103144747
351	0.410157318
352	0.4099881471
353	0.4098190147
354	0.4096848335
355	0.4094390428
356	0.409247448
357	0.4090602203
358	0.4088235767
359	0.4086204246
360	0.4083771389
361	0.4081936517
362	0.4079525403
363	0.4076999008
364	0.407506209
365	0.4073191948
366	0.4071698703
367	0.406974497
368	0.4067471836
369	0.4065733174
370	0.406426609
371	0.4062080503
372	0.4059977633
373	0.4058547281
374	0.405687326
375	0.4054224708
376	0.4051770266
377	0.4049013954
378	0.404677641
379	0.4044110869
380	0.4042352512
381	0.4041029842
382	0.403970691
383	0.4037670418
384	0.4036521229
385	0.4034103677
386	0.4031847187
387	0.4030244737
388	0.402800594
389	0.4026255909
390	0.4024136411
391	0.4022102212
392	0.4020765896
393	0.401939145
394	0.4017917179
395	0.4015722904
396	0.4013612065
397	0.4011340079
398	0.4008516232
399	0.400581771
400	0.400456024
401	0.4002077769
402	0.3999729214
403	0.3998592196
404	0.3996937826
405	0.3995967472
406	0.3994119194
407	0.39929155
408	0.3990986201
409	0.3988732961
410	0.3986302806
411	0.3984023306
412	0.3981934276
413	0.3980426558
414	0.3978142812
415	0.3976377114
416	0.3975340954
417	0.3973673797
418	0.3971701694
419	0.3969690116
420	0.396737118
421	0.3964840526
422	0.3962871513
423	0.3960631355
424	0.3959443969
425	0.3957659565
426	0.3955425534
427	0.3953101886
428	0.3952549632
429	0.3950647883
430	0.3949645283
431	0.3947914552
432	0.3946504762
433	0.3945184524
434	0.3942616909
435	0.3940334254
436	0.3938570502
437	0.3936702058
438	0.3934775666
439	0.3933631133
440	0.3931833391
441	0.3929790181
442	0.3928249137
443	0.3925829602
444	0.3923594693
445	0.3922075809
446	0.3919970426
447	0.3918110803
448	0.3916405642
449	0.3914656453
450	0.3913536266
451	0.3911962867
452	0.3910310381
453	0.390987537
454	0.3908922937
455	0.3907535941
456	0.3906124014
457	0.3904068032
458	0.3902764358
459	0.3900999549
460	0.3899224001
461	0.3898060483
462	0.3896789617
463	0.3895230131
464	0.3893517144
465	0.3891032576
466	0.388878528
467	0.3887227367
468	0.3885303331
469	0.3883792378
470	0.3881506608
471	0.3879638277
472	0.3876028801
473	0.3874378764
474	0.387277083
475	0.3870706643
476	0.3869167855
477	0.3867751301
478	0.3865869196
479	0.3863317182
480	0.3861103232
481	0.3859196133
482	0.3857449722
483	0.3855277759
484	0.3852793588
485	0.3850451988
486	0.3848825108
487	0.3847028934
488	0.3845891481
489	0.3843786692
490	0.3842389372
491	0.3839070014
492	0.383718269
493	0.3835357624
494	0.3833384909
495	0.3831515728
496	0.383019053
497	0.3828461517
498	0.3826524342
499	0.3824629447
