iter	Logloss
0	0.6533033606
1	0.620844184
2	0.5969725241
3	0.5774210879
4	0.5608368249
5	0.5483794631
6	0.5389521352
7	0.5307203329
8	0.5242630047
9	0.5184819368
10	0.5142759724
11	0.5096049269
12	0.5066451449
13	0.5031372456
14	0.5021651926
15	0.5002141255
16	0.4983791566
17	0.4969602483
18	0.4954142909
19	0.4939196387
20	0.4930290938
21	0.4922399568
22	0.4916561788
23	0.4906094709
24	0.4899541345
25	0.4893677382
26	0.4887587604
27	0.4881706829
28	0.4875090788
29	0.4872229637
30	0.4868326224
31	0.486481426
32	0.4858672089
33	0.4856322705
34	0.4852325234
35	0.4847261768
36	0.4843119305
37	0.4839966106
38	0.4836441322
39	0.4834461449
40	0.482808611
41	0.4824128966
42	0.4820651339
43	0.4817718712
44	0.4813895067
45	0.4811674308
46	0.480756324
47	0.4805316744
48	0.4802606796
49	0.4800074458
50	0.4796511197
51	0.4792371794
52	0.4788861255
53	0.4786150204
54	0.4783375594
55	0.4778407922
56	0.4774755229
57	0.4772515048
58	0.476894805
59	0.4765160403
60	0.4761888474
61	0.4758304516
62	0.475514901
63	0.4752922907
64	0.4750276118
65	0.4747091221
66	0.4743008944
67	0.474053086
68	0.4738824412
69	0.4735674138
70	0.47334137
71	0.4731280103
72	0.4728818925
73	0.4725718103
74	0.4723943746
75	0.4721626406
76	0.4720255804
77	0.4717446005
78	0.4714710182
79	0.4710410327
80	0.4707147163
81	0.4704744056
82	0.4701189273
83	0.4698300606
84	0.4695279145
85	0.4693998379
86	0.4692223871
87	0.4690119393
88	0.4686108554
89	0.4682783972
90	0.4681663675
91	0.4678201121
92	0.4675099544
93	0.4673409309
94	0.467086345
95	0.4668189397
96	0.466630745
97	0.4664463761
98	0.466252696
99	0.4660096593
100	0.4658062292
101	0.4655000098
102	0.4651023249
103	0.4648016516
104	0.464554032
105	0.4642448519
106	0.4638329455
107	0.4635624806
108	0.4633623494
109	0.4630340531
110	0.4628717057
111	0.4626595724
112	0.4624315118
113	0.4623795008
114	0.4621579322
115	0.4617472431
116	0.4615869427
117	0.4612224834
118	0.460960299
119	0.4607255725
120	0.4605655036
121	0.4603136179
122	0.4601229863
123	0.4599452219
124	0.4597063402
125	0.4594341498
126	0.4592400563
127	0.4590727205
128	0.4587958852
129	0.4586226175
130	0.4583258943
131	0.458063523
132	0.457878803
133	0.4575870899
134	0.4575016371
135	0.4571814695
136	0.4570288822
137	0.4567050199
138	0.4564579474
139	0.456273412
140	0.4561450297
141	0.4559237542
142	0.455697623
143	0.4554758444
144	0.4552042227
145	0.4551290359
146	0.4548564629
147	0.4546664202
148	0.4544678749
149	0.4543219566
150	0.4541162889
151	0.4539841704
152	0.453812545
153	0.4535187826
154	0.4533420689
155	0.4530690957
156	0.4529010405
157	0.4526752162
158	0.4523398834
159	0.4520507657
160	0.4518689644
161	0.451643432
162	0.451464786
163	0.4512800914
164	0.4511591268
165	0.4508309291
166	0.4505675508
167	0.4503733542
168	0.4500601938
169	0.4498597336
170	0.4496586069
171	0.4495482566
172	0.4493867184
173	0.4492543875
174	0.4489900534
175	0.4487577352
176	0.4486745205
177	0.448432948
178	0.4482812966
179	0.4480118882
180	0.4478366668
181	0.4475479869
182	0.4473322204
183	0.447123824
184	0.446910677
185	0.4466987675
186	0.4464700183
187	0.4462629175
188	0.4460596352
189	0.4458029539
190	0.4455801467
191	0.445305213
192	0.4450599165
193	0.4449135194
194	0.4445852364
195	0.4444009717
196	0.4442558596
197	0.4439222711
198	0.4437591378
199	0.4434333742
200	0.443267662
201	0.4431072768
202	0.4428299958
203	0.4425593888
204	0.4422426163
205	0.441917925
206	0.4418029972
207	0.4414866076
208	0.4412615288
209	0.4410478494
210	0.4409251461
211	0.4406873425
212	0.4405647629
213	0.4403798599
214	0.4402742167
215	0.4400321335
216	0.4398027295
217	0.4395079949
218	0.439268292
219	0.4390437889
220	0.4388909877
221	0.4388007381
222	0.4384889796
223	0.4382258625
224	0.4379842036
225	0.4377508334
226	0.4374654556
227	0.4373014237
228	0.437068256
229	0.4368775296
230	0.4366303707
231	0.4364077035
232	0.4362060264
233	0.4359985961
234	0.4357476699
235	0.435518458
236	0.4352881777
237	0.4350484901
238	0.4348383585
239	0.4344893478
240	0.4342852355
241	0.4340878362
242	0.4338028148
243	0.433538848
244	0.4332739656
245	0.433130064
246	0.4328522385
247	0.4326158161
248	0.4323894228
249	0.4322226349
250	0.4319790509
251	0.4316575147
252	0.4313701112
253	0.4310320968
254	0.4308059956
255	0.4306160384
256	0.4302933658
257	0.4301884154
258	0.4298302061
259	0.4295447778
260	0.4293419888
261	0.4291538947
262	0.4290397649
263	0.4289194192
264	0.4286420091
265	0.4284706153
266	0.4283221016
267	0.4279931818
268	0.4277326461
269	0.4274978844
270	0.4272810629
271	0.4269486028
272	0.4267507765
273	0.4264372729
274	0.4263427571
275	0.4261269495
276	0.4258762635
277	0.4255910932
278	0.4253907676
279	0.4252361789
280	0.4250333866
281	0.4248289022
282	0.424638533
283	0.4243997294
284	0.4242466766
285	0.4240361463
286	0.4236770741
287	0.423602524
288	0.4234187215
289	0.4231895856
290	0.4229752126
291	0.422772363
292	0.422508305
293	0.4224171019
294	0.4222760355
295	0.4221491513
296	0.421837321
297	0.4216570647
298	0.4215014596
299	0.4212532548
300	0.4210040416
301	0.4208781348
302	0.4206312959
303	0.4203886265
304	0.4201109559
305	0.4199392142
306	0.4197284656
307	0.4195065865
308	0.4192080517
309	0.4189780058
310	0.4187756179
311	0.4185053793
312	0.4182681015
313	0.418051826
314	0.4178562072
315	0.4176227683
316	0.4174100271
317	0.4172106479
318	0.4169510547
319	0.4167742117
320	0.4165121086
321	0.4163307353
322	0.4162481696
323	0.4160483638
324	0.4159538166
325	0.4157745716
326	0.4156040624
327	0.4155228549
328	0.415281469
329	0.4149723328
330	0.4147491412
331	0.414456669
